ASV,stat,p-value,adjust pvalue,OA
ASV2797,0.170854333,0.004,0.051517544,High
ASV2774,0.173789752,0.005,0.060297741,High
ASV2769,0.223141296,0.001,0.018126543,High
ASV2702,0.156216251,0.039,0.290668782,High
ASV2663,0.195542637,0.002,0.031074074,High
ASV2605,0.290902019,0.001,0.018126543,High
ASV257,0.206569294,0.002,0.031074074,High
ASV2525,0.169987421,0.012,0.124515901,High
ASV2508,0.223288625,0.001,0.018126543,High
ASV2501,0.358076055,0.001,0.018126543,High
ASV2467,0.255963486,0.001,0.018126543,High
ASV2445,0.151828083,0.048,0.341701818,High
ASV23948,0.428089194,0.001,0.018126543,High
ASV23867,0.19065201,0.006,0.069916667,High
ASV23837,0.188705872,0.004,0.051517544,High
ASV23761,0.141044439,0.05,0.354649758,High
ASV23659,0.271642318,0.001,0.018126543,High
ASV23566,0.226857638,0.001,0.018126543,High
ASV23527,0.340634842,0.001,0.018126543,High
ASV23512,0.144226324,0.017,0.165026446,High
ASV2351,0.311302664,0.001,0.018126543,High
ASV23509,0.50461474,0.001,0.018126543,High
ASV23507,0.44386965,0.001,0.018126543,High
ASV23488,0.232852596,0.002,0.031074074,High
ASV23487,0.142197234,0.048,0.341701818,High
ASV23445,0.392702167,0.001,0.018126543,High
ASV23315,0.18218213,0.016,0.15872973,High
ASV23274,0.122282104,0.04,0.296616162,High
ASV23241,0.365252654,0.001,0.018126543,High
ASV23210,0.166537627,0.023,0.201911809,High
ASV23197,0.201684197,0.005,0.060297741,High
ASV23175,0.146133876,0.031,0.245699055,High
ASV23042,0.191801216,0.007,0.079059615,High
ASV23033,0.327730291,0.001,0.018126543,High
ASV2295,0.252442405,0.001,0.018126543,High
ASV22945,0.234616391,0.001,0.018126543,High
ASV22938,0.444997449,0.001,0.018126543,High
ASV22789,0.209726024,0.002,0.031074074,High
ASV22780,0.188154209,0.002,0.031074074,High
ASV2276,0.125367414,0.013,0.134181019,High
ASV22737,0.159140052,0.019,0.18026979,High
ASV22724,0.208209932,0.004,0.051517544,High
ASV22699,0.164447564,0.017,0.165026446,High
ASV22628,0.194853893,0.005,0.060297741,High
ASV22618,0.156309374,0.014,0.142499133,High
ASV22434,0.376016829,0.001,0.018126543,High
ASV22302,0.21423549,0.003,0.041652482,High
ASV22292,0.459704534,0.001,0.018126543,High
ASV22260,0.248491014,0.002,0.031074074,High
ASV21945,0.163808806,0.049,0.347977025,High
ASV21777,0.362540024,0.001,0.018126543,High
ASV21726,0.236483619,0.001,0.018126543,High
ASV21676,0.554161918,0.001,0.018126543,High
ASV21655,0.211310519,0.003,0.041652482,High
ASV21648,0.251993096,0.001,0.018126543,High
ASV21571,0.451712522,0.001,0.018126543,High
ASV21539,0.149521021,0.036,0.273870466,High
ASV21535,0.188708108,0.008,0.088816635,High
ASV21518,0.211403631,0.005,0.060297741,High
ASV21332,0.335500766,0.001,0.018126543,High
ASV21270,0.163960547,0.023,0.201911809,High
ASV21269,0.25014805,0.001,0.018126543,High
ASV21231,0.153740252,0.028,0.232265537,High
ASV21223,0.168410846,0.016,0.15872973,High
ASV21192,0.214251619,0.003,0.041652482,High
ASV21176,0.277124295,0.001,0.018126543,High
ASV21170,0.151174236,0.03,0.241025992,High
ASV21051,0.148948917,0.032,0.251924933,High
ASV21050,0.2934825,0.001,0.018126543,High
ASV210,0.231148518,0.001,0.018126543,High
ASV20818,0.160944975,0.017,0.165026446,High
ASV20782,0.212643433,0.003,0.041652482,High
ASV20768,0.257078901,0.001,0.018126543,High
ASV20735,0.263227403,0.001,0.018126543,High
ASV20725,0.234572544,0.001,0.018126543,High
ASV20608,0.154934566,0.021,0.196077901,High
ASV20554,0.228939211,0.001,0.018126543,High
ASV20542,0.571028884,0.001,0.018126543,High
ASV20413,0.207680555,0.005,0.060297741,High
ASV20404,0.187682174,0.01,0.107761468,High
ASV20360,0.244180766,0.001,0.018126543,High
ASV20147,0.313403897,0.001,0.018126543,High
ASV20046,0.18179606,0.007,0.079059615,High
ASV19998,0.256035173,0.001,0.018126543,High
ASV19995,0.566624623,0.001,0.018126543,High
ASV19991,0.201165104,0.006,0.069916667,High
ASV19976,0.195338334,0.01,0.107761468,High
ASV19877,0.284483937,0.001,0.018126543,High
ASV19823,0.3352001,0.001,0.018126543,High
ASV19738,0.13881465,0.045,0.324674447,High
ASV19702,0.221915024,0.001,0.018126543,High
ASV19626,0.198763002,0.005,0.060297741,High
ASV19566,0.287853347,0.001,0.018126543,High
ASV1956,0.183640956,0.008,0.088816635,High
ASV19558,0.204854964,0.005,0.060297741,High
ASV19547,0.412791644,0.001,0.018126543,High
ASV19516,0.164200449,0.031,0.245699055,High
ASV19341,0.168860139,0.015,0.150076661,High
ASV19332,0.22404358,0.001,0.018126543,High
ASV19330,0.418480977,0.001,0.018126543,High
ASV19298,0.167106986,0.007,0.079059615,High
ASV19274,0.246068022,0.001,0.018126543,High
ASV19198,0.157808098,0.015,0.150076661,High
ASV1916,0.145235851,0.034,0.263085639,High
ASV19148,0.403883658,0.001,0.018126543,High
ASV19100,0.257687626,0.001,0.018126543,High
ASV19096,0.153328367,0.039,0.290668782,High
ASV19062,0.200076454,0.002,0.031074074,High
ASV18984,0.287465834,0.001,0.018126543,High
ASV18963,0.212308685,0.001,0.018126543,High
ASV18853,0.264011265,0.001,0.018126543,High
ASV18717,0.194776794,0.003,0.041652482,High
ASV18676,0.265899509,0.001,0.018126543,High
ASV18661,0.25798307,0.001,0.018126543,High
ASV18633,0.340873031,0.001,0.018126543,High
ASV18631,0.242098678,0.001,0.018126543,High
ASV18612,0.202499715,0.004,0.051517544,High
ASV18522,0.242630107,0.001,0.018126543,High
ASV18507,0.448883094,0.001,0.018126543,High
ASV18410,0.163605505,0.025,0.215285924,High
ASV18301,0.194361138,0.006,0.069916667,High
ASV18286,0.350988009,0.001,0.018126543,High
ASV18275,0.394094604,0.001,0.018126543,High
ASV18212,0.200669095,0.001,0.018126543,High
ASV18092,0.345324269,0.001,0.018126543,High
ASV18010,0.294069963,0.001,0.018126543,High
ASV17936,0.171528298,0.017,0.165026446,High
ASV17926,0.207814239,0.003,0.041652482,High
ASV17686,0.150733182,0.037,0.280027062,High
ASV17621,0.223495874,0.002,0.031074074,High
ASV17584,0.291064592,0.001,0.018126543,High
ASV17466,0.144418063,0.038,0.285754161,High
ASV17351,0.162332589,0.02,0.187936,High
ASV17338,0.229828837,0.002,0.031074074,High
ASV17334,0.21474383,0.004,0.051517544,High
ASV17253,0.243757439,0.001,0.018126543,High
ASV17172,0.160205679,0.031,0.245699055,High
ASV17149,0.175511166,0.005,0.060297741,High
ASV17118,0.166469334,0.035,0.267998696,High
ASV17083,0.159348395,0.03,0.241025992,High
ASV17017,0.407658179,0.001,0.018126543,High
ASV16896,0.206714023,0.003,0.041652482,High
ASV16846,0.333417889,0.001,0.018126543,High
ASV16731,0.269491912,0.001,0.018126543,High
ASV16703,0.152273147,0.033,0.25738247,High
ASV16634,0.207669082,0.003,0.041652482,High
ASV16512,0.440943423,0.001,0.018126543,High
ASV16394,0.20584855,0.001,0.018126543,High
ASV16389,0.135875744,0.047,0.335804136,High
ASV16349,0.256567361,0.001,0.018126543,High
ASV16322,0.42399931,0.001,0.018126543,High
ASV16283,0.174175409,0.012,0.124515901,High
ASV16264,0.313245898,0.001,0.018126543,High
ASV1617,0.226939043,0.003,0.041652482,High
ASV16099,0.407203058,0.001,0.018126543,High
ASV16086,0.303152719,0.001,0.018126543,High
ASV15994,0.255096608,0.001,0.018126543,High
ASV15913,0.388045166,0.001,0.018126543,High
ASV15867,0.213603523,0.003,0.041652482,High
ASV15842,0.166562638,0.006,0.069916667,High
ASV15838,0.152830287,0.041,0.30136796,High
ASV15714,0.240411588,0.002,0.031074074,High
ASV15632,0.205282435,0.001,0.018126543,High
ASV15576,0.213443126,0.002,0.031074074,High
ASV15516,0.236578545,0.001,0.018126543,High
ASV15488,0.230195446,0.001,0.018126543,High
ASV15248,0.351892204,0.001,0.018126543,High
ASV15198,0.352647014,0.001,0.018126543,High
ASV15158,0.190699578,0.005,0.060297741,High
ASV15156,0.239279689,0.001,0.018126543,High
ASV15134,0.159130863,0.023,0.201911809,High
ASV15080,0.106964341,0.014,0.142499133,High
ASV15048,0.191092104,0.006,0.069916667,High
ASV14975,0.370921575,0.001,0.018126543,High
ASV1494,0.136551901,0.041,0.30136796,High
ASV14847,0.351731821,0.001,0.018126543,High
ASV14799,0.188459732,0.002,0.031074074,High
ASV14753,0.225042478,0.003,0.041652482,High
ASV14739,0.155110341,0.019,0.18026979,High
ASV14728,0.25212239,0.001,0.018126543,High
ASV14690,0.207333978,0.002,0.031074074,High
ASV14643,0.172781315,0.014,0.142499133,High
ASV14635,0.342052291,0.001,0.018126543,High
ASV14576,0.577196667,0.001,0.018126543,High
ASV14505,0.183717329,0.004,0.051517544,High
ASV14431,0.646536017,0.001,0.018126543,High
ASV14426,0.207752629,0.003,0.041652482,High
ASV14419,0.272743167,0.001,0.018126543,High
ASV14389,0.354610981,0.001,0.018126543,High
ASV14244,0.204723529,0.001,0.018126543,High
ASV14201,0.19757466,0.007,0.079059615,High
ASV14180,0.193878676,0.005,0.060297741,High
ASV14064,0.159514119,0.011,0.115983842,High
ASV14061,0.250833561,0.003,0.041652482,High
ASV14010,0.37191252,0.001,0.018126543,High
ASV14001,0.312939188,0.001,0.018126543,High
ASV13995,0.205374972,0.004,0.051517544,High
ASV13740,0.293909052,0.001,0.018126543,High
ASV13694,0.158940827,0.031,0.245699055,High
ASV13662,0.313560677,0.001,0.018126543,High
ASV13636,0.212212885,0.003,0.041652482,High
ASV13574,0.372583644,0.001,0.018126543,High
ASV1341,0.244003788,0.001,0.018126543,High
ASV13378,0.435039555,0.001,0.018126543,High
ASV13350,0.158604939,0.012,0.124515901,High
ASV13301,0.211434482,0.004,0.051517544,High
ASV13221,0.162519076,0.018,0.172735294,High
ASV13209,0.377332061,0.001,0.018126543,High
ASV13104,0.300741248,0.001,0.018126543,High
ASV13054,0.4554119,0.001,0.018126543,High
ASV13033,0.259563302,0.001,0.018126543,High
ASV13030,0.232102041,0.002,0.031074074,High
ASV12776,0.295415609,0.001,0.018126543,High
ASV12768,0.154915956,0.029,0.238205594,High
ASV12726,0.367178207,0.001,0.018126543,High
ASV12632,0.200108855,0.005,0.060297741,High
ASV12615,0.238322226,0.001,0.018126543,High
ASV1243,0.344983742,0.001,0.018126543,High
ASV12424,0.245071976,0.001,0.018126543,High
ASV12338,0.164008576,0.027,0.227179083,High
ASV12323,0.176764301,0.005,0.060297741,High
ASV1232,0.465263589,0.001,0.018126543,High
ASV12304,0.143911422,0.049,0.347977025,High
ASV12249,0.282299856,0.001,0.018126543,High
ASV12226,0.293045672,0.001,0.018126543,High
ASV12211,0.21988169,0.001,0.018126543,High
ASV12077,0.178071335,0.02,0.187936,High
ASV11877,0.311546019,0.001,0.018126543,High
ASV11836,0.134987607,0.047,0.335804136,High
ASV11830,0.162471282,0.002,0.031074074,High
ASV11795,0.245565531,0.001,0.018126543,High
ASV11746,0.293703829,0.001,0.018126543,High
ASV11687,0.242934287,0.001,0.018126543,High
ASV11684,0.148904863,0.044,0.320213135,High
ASV1165,0.392498494,0.001,0.018126543,High
ASV11637,0.162204868,0.02,0.187936,High
ASV1163,0.197965868,0.006,0.069916667,High
ASV11620,0.245724961,0.001,0.018126543,High
ASV11576,0.157094825,0.028,0.232265537,High
ASV1149,0.187446258,0.007,0.079059615,High
ASV11414,0.136462724,0.047,0.335804136,High
ASV11317,0.146824414,0.039,0.290668782,High
ASV11209,0.169360802,0.018,0.172735294,High
ASV11202,0.141957266,0.02,0.187936,High
ASV11095,0.393600174,0.001,0.018126543,High
ASV11048,0.180700063,0.015,0.150076661,High
ASV10969,0.307147062,0.001,0.018126543,High
ASV10958,0.157462687,0.023,0.201911809,High
ASV10944,0.263874797,0.001,0.018126543,High
ASV10882,0.148884346,0.035,0.267998696,High
ASV10791,0.400806696,0.001,0.018126543,High
ASV10763,0.199389369,0.006,0.069916667,High
ASV10676,0.195446468,0.009,0.098064935,High
ASV10559,0.162469914,0.028,0.232265537,High
ASV10513,0.385644466,0.001,0.018126543,High
ASV10504,0.204264872,0.006,0.069916667,High
ASV10345,0.18469089,0.004,0.051517544,High
ASV10291,0.332211138,0.001,0.018126543,High
ASV10217,0.161036408,0.018,0.172735294,High
ASV10184,0.14879376,0.044,0.320213135,High
ASV10173,0.370343306,0.001,0.018126543,High
ASV10139,0.23666239,0.001,0.018126543,High
ASV10137,0.137907166,0.047,0.335804136,High
ASV10135,0.152225274,0.028,0.232265537,High
ASV10106,0.264680228,0.001,0.018126543,High
