ASV,stat,p-value,adjust pvalue,OA
ASV14168,0.407232117,0.001,0.018126543,Low
ASV14158,0.113779782,0.023,0.201911809,Low
ASV14098,0.168682648,0.019,0.18026979,Low
ASV14040,0.179979843,0.002,0.031074074,Low
ASV1394,0.142971164,0.023,0.201911809,Low
ASV13900,0.156981084,0.01,0.107761468,Low
ASV13873,0.228469974,0.004,0.051517544,Low
ASV13807,0.13387968,0.022,0.201255452,Low
ASV13620,0.150264979,0.015,0.150076661,Low
ASV13615,0.18351649,0.004,0.051517544,Low
ASV13554,0.229662763,0.001,0.018126543,Low
ASV13525,0.15955233,0.001,0.018126543,Low
ASV13472,0.1337103,0.041,0.30136796,Low
ASV13383,0.147957916,0.027,0.227179083,Low
ASV13333,0.14458696,0.022,0.201255452,Low
ASV13330,0.197199628,0.001,0.018126543,Low
ASV13259,0.120648992,0.025,0.215285924,Low
ASV13226,0.17699693,0.002,0.031074074,Low
ASV13139,0.195435352,0.002,0.031074074,Low
ASV12991,0.138041732,0.016,0.15872973,Low
ASV12932,0.150392435,0.007,0.079059615,Low
ASV12906,0.177417442,0.001,0.018126543,Low
ASV12862,0.154038321,0.028,0.232265537,Low
ASV12840,0.152852405,0.018,0.172735294,Low
ASV12728,0.178655885,0.003,0.041652482,Low
ASV12606,0.150359362,0.009,0.098064935,Low
ASV12601,0.169317976,0.019,0.18026979,Low
ASV12583,0.187312611,0.001,0.018126543,Low
ASV12560,0.1949901,0.004,0.051517544,Low
ASV12460,0.131536966,0.036,0.273870466,Low
ASV12359,0.194052529,0.001,0.018126543,Low
ASV12347,0.199552281,0.001,0.018126543,Low
ASV12346,0.143940321,0.035,0.267998696,Low
ASV12329,0.196709651,0.001,0.018126543,Low
ASV1231,0.276563538,0.001,0.018126543,Low
ASV12217,0.229803744,0.001,0.018126543,Low
ASV1219,0.133052282,0.023,0.201911809,Low
ASV12178,0.183645533,0.005,0.060297741,Low
ASV12050,0.199569092,0.005,0.060297741,Low
ASV12016,0.159171913,0.011,0.115983842,Low
ASV11999,0.243087367,0.001,0.018126543,Low
