Latitude,Longitude,Distance,Depth,Cluster
21.733,-92.318,inshore,Deep,Cluster 2
21.733,-92.318,inshore,Deep,Cluster 2
21.733,-92.318,inshore,Deep,Cluster 2
27.335,-96.783,inshore,Deep,Cluster 1
27.335,-96.783,inshore,Deep,Cluster 1
27.335,-96.783,inshore,Deep,Cluster 1
23.769,-88.001,inshore,Deep,Cluster 2
23.769,-88.001,inshore,Deep,Cluster 2
23.769,-88.001,inshore,Deep,Cluster 2
26.991,-79.987,inshore,Deep,Cluster 1
26.991,-79.987,inshore,Deep,Cluster 1
26.991,-79.987,inshore,Deep,Cluster 1
21.591,-86.503,inshore,Deep,Cluster 2
21.591,-86.503,inshore,Deep,Cluster 2
21.591,-86.503,inshore,Deep,Cluster 2
30.111,-86.8,inshore,Deep,Cluster 2
30.111,-86.8,inshore,Deep,Cluster 2
30.111,-86.8,inshore,Deep,Cluster 2
19.609,-93.5,offshore,DCM,Cluster 2
19.609,-93.5,offshore,DCM,Cluster 2
19.609,-93.5,offshore,DCM,Cluster 2
28.935,-90.123,inshore,Deep,Cluster 1
28.935,-90.123,inshore,Deep,Cluster 1
28.935,-90.123,inshore,Deep,Cluster 1
26.259,-83.806,inshore,Deep,Cluster 2
26.259,-83.806,inshore,Deep,Cluster 2
26.259,-83.806,inshore,Deep,Cluster 2
27.87,-93.831,inshore,Deep,Cluster 2
27.87,-93.831,inshore,Deep,Cluster 2
27.87,-93.831,inshore,Deep,Cluster 2
22.542,-88,inshore,Deep,Cluster 1
22.542,-88,inshore,Deep,Cluster 1
22.542,-88,inshore,Deep,Cluster 1
29.206,-85.647,inshore,Deep,Cluster 2
29.206,-85.647,inshore,Deep,Cluster 2
29.206,-85.647,inshore,Deep,Cluster 2
26.259,-83.806,inshore,DCM,Cluster 2
26.259,-83.806,inshore,DCM,Cluster 2
26.259,-83.806,inshore,DCM,Cluster 2
29.5,-85.378,inshore,Deep,Cluster 1
29.5,-85.378,inshore,Deep,Cluster 1
29.5,-85.378,inshore,Deep,Cluster 1
22.971,-90.499,offshore,DCM,Cluster 2
22.971,-90.499,offshore,DCM,Cluster 2
22.971,-90.499,offshore,DCM,Cluster 2
20.601,-94.29,offshore,DCM,Cluster 2
20.601,-94.29,offshore,DCM,Cluster 2
20.601,-94.29,offshore,DCM,Cluster 2
25.658,-84.715,offshore,DCM,Cluster 2
25.658,-84.715,offshore,DCM,Cluster 2
25.658,-84.715,offshore,DCM,Cluster 2
26.888,-84.666,offshore,DCM,Cluster 2
26.888,-84.666,offshore,DCM,Cluster 2
26.888,-84.666,offshore,DCM,Cluster 2
26.059,-96.082,offshore,DCM,Cluster 2
26.059,-96.082,offshore,DCM,Cluster 2
26.059,-96.082,offshore,DCM,Cluster 2
27.87,-93.831,inshore,DCM,Cluster 2
27.87,-93.831,inshore,DCM,Cluster 2
27.87,-93.831,inshore,DCM,Cluster 2
18.836,-93.066,inshore,Deep,Cluster 1
18.836,-93.066,inshore,Deep,Cluster 1
18.836,-93.066,inshore,Deep,Cluster 1
29.5,-85.378,inshore,Surface,Cluster 1
29.5,-85.378,inshore,Surface,Cluster 1
29.5,-85.378,inshore,Surface,Cluster 1
29.5,-85.378,inshore,DCM,Cluster 1
29.5,-85.378,inshore,DCM,Cluster 1
29.5,-85.378,inshore,DCM,Cluster 1
21.948,-86.992,inshore,Deep,Cluster 1
21.948,-86.992,inshore,Deep,Cluster 1
21.948,-86.992,inshore,Deep,Cluster 1
26.058,-94.197,offshore,DCM,Cluster 2
26.058,-94.197,offshore,DCM,Cluster 2
26.058,-94.197,offshore,DCM,Cluster 2
18.836,-93.066,inshore,DCM,Cluster 1
18.836,-93.066,inshore,DCM,Cluster 1
18.836,-93.066,inshore,DCM,Cluster 1
27.335,-96.783,inshore,DCM,Cluster 1
27.335,-96.783,inshore,DCM,Cluster 1
27.335,-96.783,inshore,DCM,Cluster 1
22.276,-95.588,offshore,DCM,Cluster 2
22.276,-95.588,offshore,DCM,Cluster 2
22.276,-95.588,offshore,DCM,Cluster 2
29.463,-87.236,offshore,DCM,Cluster 1
29.463,-87.236,offshore,DCM,Cluster 1
29.463,-87.236,offshore,DCM,Cluster 1
30.111,-86.8,inshore,DCM,Cluster 1
30.111,-86.8,inshore,DCM,Cluster 1
30.111,-86.8,inshore,DCM,Cluster 1
21.948,-86.992,inshore,DCM,Cluster 1
21.948,-86.992,inshore,DCM,Cluster 1
21.948,-86.992,inshore,DCM,Cluster 1
27.5,-95.004,offshore,DCM,Cluster 2
27.5,-95.004,offshore,DCM,Cluster 2
27.5,-95.004,offshore,DCM,Cluster 2
22.542,-88,inshore,DCM,Cluster 1
22.542,-88,inshore,DCM,Cluster 1
22.542,-88,inshore,DCM,Cluster 1
27.92,-93.579,inshore,Deep,Cluster 2
27.92,-93.579,inshore,Deep,Cluster 2
27.92,-93.579,inshore,Deep,Cluster 2
28.683,-95,inshore,Deep,Cluster 1
28.683,-95,inshore,Deep,Cluster 1
28.683,-95,inshore,Deep,Cluster 1
28.683,-95,inshore,DCM,Cluster 1
28.683,-95,inshore,DCM,Cluster 1
28.683,-95,inshore,DCM,Cluster 1
26.994,-79.859,offshore,DCM,Cluster 2
26.994,-79.859,offshore,DCM,Cluster 2
26.994,-79.859,offshore,DCM,Cluster 2
25.574,-84.843,offshore,DCM,Cluster 1
25.574,-84.843,offshore,DCM,Cluster 2
25.574,-84.843,offshore,DCM,Cluster 2
23.769,-88.001,inshore,DCM,Cluster 2
23.769,-88.001,inshore,DCM,Cluster 2
23.769,-88.001,inshore,DCM,Cluster 2
28.701,-87.76,offshore,DCM,Cluster 1
28.701,-87.76,offshore,DCM,Cluster 1
28.701,-87.76,offshore,DCM,Cluster 1
28.866,-85.922,offshore,DCM,Cluster 1
28.866,-85.922,offshore,DCM,Cluster 1
28.866,-85.922,offshore,DCM,Cluster 1
29.206,-85.647,inshore,DCM,Cluster 1
29.206,-85.647,inshore,DCM,Cluster 1
29.206,-85.647,inshore,DCM,Cluster 1
24.4,-80.625,offshore,DCM,Cluster 2
24.4,-80.625,offshore,DCM,Cluster 2
24.4,-80.625,offshore,DCM,Cluster 2
28.683,-95,inshore,Surface,Cluster 1
28.683,-95,inshore,Surface,Cluster 1
28.683,-95,inshore,Surface,Cluster 1
26.221,-85.665,offshore,DCM,Cluster 2
26.221,-85.665,offshore,DCM,Cluster 2
26.221,-85.665,inshore,DCM,Cluster 2
27.737,-89.999,offshore,DCM,Cluster 2
27.737,-89.999,offshore,DCM,Cluster 2
27.737,-89.999,offshore,DCM,Cluster 2
26.62,-83.24,inshore,Deep,Cluster 1
26.62,-83.24,inshore,Deep,Cluster 1
26.62,-83.24,inshore,Deep,Cluster 1
21.591,-86.503,inshore,DCM,Cluster 1
21.591,-86.503,inshore,DCM,Cluster 1
21.591,-86.503,inshore,DCM,Cluster 1
22.274,-97.361,offshore,DCM,Cluster 2
22.274,-97.361,offshore,DCM,Cluster 2
22.274,-97.361,offshore,DCM,Cluster 2
21.733,-92.318,inshore,DCM,Cluster 2
21.733,-92.318,inshore,DCM,Cluster 2
21.733,-92.318,inshore,DCM,Cluster 2
26.991,-79.987,inshore,DCM,Cluster 1
26.991,-79.987,inshore,DCM,Cluster 1
26.991,-79.987,inshore,DCM,Cluster 1
27.584,-89.999,offshore,DCM,Cluster 2
27.584,-89.999,offshore,DCM,Cluster 2
27.584,-89.999,offshore,DCM,Cluster 2
28.935,-90.123,inshore,Surface,Cluster 1
28.935,-90.123,inshore,Surface,Cluster 1
28.935,-90.123,inshore,Surface,Cluster 1
30.111,-86.8,inshore,Surface,Cluster 1
30.111,-86.8,inshore,Surface,Cluster 1
30.111,-86.8,inshore,Surface,Cluster 1
22.734,-86.49,offshore,DCM,Cluster 2
22.734,-86.49,offshore,DCM,Cluster 2
22.734,-86.49,offshore,DCM,Cluster 2
27.91,-90.001,offshore,DCM,Cluster 2
27.91,-90.001,offshore,DCM,Cluster 1
27.91,-90.001,offshore,DCM,Cluster 2
26.061,-96.807,inshore,Deep,Cluster 1
26.061,-96.807,inshore,Deep,Cluster 1
26.061,-96.807,inshore,Deep,Cluster 1
23.088,-86.273,offshore,DCM,Cluster 2
23.088,-86.273,offshore,DCM,Cluster 2
23.088,-86.273,offshore,DCM,Cluster 2
24.517,-80.63,offshore,DCM,Cluster 2
24.517,-80.63,offshore,DCM,Cluster 2
24.517,-80.63,offshore,DCM,Cluster 2
21.167,-90.768,inshore,Surface,Cluster 1
21.167,-90.768,inshore,Surface,Cluster 1
21.167,-90.768,inshore,Surface,Cluster 1
21.167,-90.768,inshore,Deep,Cluster 1
21.167,-90.768,inshore,Deep,Cluster 1
21.167,-90.768,inshore,Deep,Cluster 1
28,-86.62,offshore,DCM,Cluster 1
28,-86.62,offshore,DCM,Cluster 1
28,-86.62,offshore,DCM,Cluster 1
23.183,-90.642,offshore,DCM,Cluster 2
23.183,-90.642,offshore,DCM,Cluster 1
23.183,-90.642,offshore,DCM,Cluster 2
18.836,-93.066,inshore,Surface,Cluster 1
18.836,-93.066,inshore,Surface,Cluster 1
18.836,-93.066,inshore,Surface,Cluster 1
26.061,-96.807,inshore,Surface,Cluster 1
26.061,-96.807,inshore,Surface,Cluster 1
26.061,-96.807,inshore,Surface,Cluster 1
29.206,-85.647,inshore,Surface,Cluster 1
29.206,-85.647,inshore,Surface,Cluster 1
29.206,-85.647,inshore,Surface,Cluster 1
21.633,-86.242,offshore,DCM,Cluster 2
21.633,-86.242,offshore,DCM,Cluster 2
21.633,-86.242,offshore,DCM,Cluster 2
28.935,-90.123,inshore,DCM,Cluster 1
28.935,-90.123,inshore,DCM,Cluster 1
28.935,-90.123,inshore,DCM,Cluster 1
26.061,-96.807,inshore,DCM,Cluster 1
26.061,-96.807,inshore,DCM,Cluster 1
26.061,-96.807,inshore,DCM,Cluster 1
26.729,-83.101,inshore,Deep,Cluster 1
26.729,-83.101,inshore,Deep,Cluster 1
26.729,-83.101,inshore,Deep,Cluster 1
21.701,-89.667,inshore,Deep,Cluster 1
21.701,-89.667,inshore,Deep,Cluster 1
21.701,-89.667,inshore,Deep,Cluster 1
22.274,-97.639,inshore,Deep,Cluster 1
22.274,-97.639,inshore,Deep,Cluster 1
22.274,-97.639,inshore,Deep,Cluster 1
21.948,-86.992,inshore,Surface,Cluster 1
21.948,-86.992,inshore,Surface,Cluster 1
21.948,-86.992,inshore,Surface,Cluster 1
26.729,-83.101,inshore,DCM,Cluster 1
26.729,-83.101,inshore,DCM,Cluster 1
26.729,-83.101,inshore,DCM,Cluster 1
28.866,-85.922,offshore,Surface,Cluster 1
28.866,-85.922,offshore,Surface,Cluster 1
28.866,-85.922,offshore,Surface,Cluster 1
21.701,-89.667,inshore,Surface,Cluster 1
21.701,-89.667,inshore,Surface,Cluster 1
21.701,-89.667,inshore,Surface,Cluster 1
26,-88,offshore,DCM,Cluster 2
26,-88,offshore,DCM,Cluster 1
26,-88,offshore,DCM,Cluster 2
27.92,-93.579,inshore,DCM,Cluster 1
27.92,-93.579,inshore,DCM,Cluster 1
27.92,-93.579,inshore,DCM,Cluster 1
27.335,-96.783,inshore,Surface,Cluster 1
27.335,-96.783,inshore,Surface,Cluster 1
27.335,-96.783,inshore,Surface,Cluster 1
26.729,-83.101,inshore,Surface,Cluster 1
26.729,-83.101,inshore,Surface,Cluster 1
26.729,-83.101,inshore,Surface,Cluster 1
29.463,-87.236,offshore,Surface,Cluster 1
29.463,-87.236,offshore,Surface,Cluster 1
29.463,-87.236,offshore,Surface,Cluster 1
21.701,-89.667,inshore,DCM,Cluster 1
21.701,-89.667,inshore,DCM,Cluster 1
21.701,-89.667,inshore,DCM,Cluster 1
26.991,-79.987,inshore,Surface,Cluster 1
26.991,-79.987,inshore,Surface,Cluster 1
26.991,-79.987,inshore,Surface,Cluster 1
28.701,-87.76,offshore,Surface,Cluster 1
28.701,-87.76,offshore,Surface,Cluster 1
28.701,-87.76,offshore,Surface,Cluster 1
26.997,-79.618,offshore,DCM,Cluster 1
26.997,-79.618,offshore,DCM,Cluster 1
26.997,-79.618,offshore,DCM,Cluster 1
27.87,-93.831,inshore,Surface,Cluster 1
27.87,-93.831,inshore,Surface,Cluster 1
27.87,-93.831,inshore,Surface,Cluster 1
22.274,-97.639,inshore,DCM,Cluster 1
22.274,-97.639,inshore,DCM,Cluster 1
22.274,-97.639,inshore,DCM,Cluster 1
26.888,-84.666,offshore,Surface,Cluster 1
26.888,-84.666,offshore,Surface,Cluster 1
26.888,-84.666,offshore,Surface,Cluster 1
26.62,-83.24,inshore,Surface,Cluster 1
26.62,-83.24,inshore,Surface,Cluster 1
26.62,-83.24,inshore,Surface,Cluster 1
22.542,-88,inshore,Surface,Cluster 1
22.542,-88,inshore,Surface,Cluster 1
22.542,-88,inshore,Surface,Cluster 2
27.91,-90.001,offshore,Surface,Cluster 1
27.91,-90.001,offshore,Surface,Cluster 1
27.91,-90.001,offshore,Surface,Cluster 1
24.735,-80.622,inshore,Surface,Cluster 1
24.735,-80.622,inshore,Surface,Cluster 3
24.735,-80.622,inshore,Surface,Cluster 1
28,-86.62,offshore,Surface,Cluster 1
28,-86.62,offshore,Surface,Cluster 1
28,-86.62,offshore,Surface,Cluster 1
27.737,-89.999,offshore,Surface,Cluster 1
27.737,-89.999,offshore,Surface,Cluster 1
27.737,-89.999,offshore,Surface,Cluster 1
24.517,-80.63,offshore,Surface,Cluster 1
24.517,-80.63,offshore,Surface,Cluster 1
24.517,-80.63,offshore,Surface,Cluster 1
23.088,-86.273,offshore,Surface,Cluster 1
23.088,-86.273,offshore,Surface,Cluster 1
23.088,-86.273,offshore,Surface,Cluster 1
26.994,-79.859,offshore,Surface,Cluster 1
26.994,-79.859,offshore,Surface,Cluster 1
26.994,-79.859,offshore,Surface,Cluster 1
27.584,-89.999,offshore,Surface,Cluster 1
27.584,-89.999,offshore,Surface,Cluster 1
27.584,-89.999,offshore,Surface,Cluster 1
26.62,-83.24,inshore,DCM,Cluster 1
26.62,-83.24,inshore,DCM,Cluster 1
26.62,-83.24,inshore,DCM,Cluster 1
20.601,-94.29,offshore,Surface,Cluster 1
20.601,-94.29,offshore,Surface,Cluster 1
27.92,-93.579,inshore,Surface,Cluster 1
27.92,-93.579,inshore,Surface,Cluster 1
27.92,-93.579,inshore,Surface,Cluster 1
21.733,-92.318,inshore,Surface,Cluster 1
21.733,-92.318,inshore,Surface,Cluster 1
21.733,-92.318,inshore,Surface,Cluster 1
26.997,-79.618,offshore,Surface,Cluster 1
26.997,-79.618,offshore,Surface,Cluster 1
25.658,-84.715,offshore,Surface,Cluster 1
25.658,-84.715,offshore,Surface,Cluster 1
25.658,-84.715,offshore,Surface,Cluster 1
24.735,-80.622,inshore,DCM,Cluster 1
24.735,-80.622,inshore,DCM,Cluster 1
24.735,-80.622,inshore,DCM,Cluster 1
28.014,-83.016,inshore,Deep,Cluster 1
28.014,-83.016,inshore,Deep,Cluster 1
28.014,-83.016,inshore,Deep,Cluster 1
22.274,-97.639,inshore,Surface,Cluster 1
22.274,-97.639,inshore,Surface,Cluster 1
22.274,-97.639,inshore,Surface,Cluster 1
22.734,-86.49,offshore,Surface,Cluster 1
22.734,-86.49,offshore,Surface,Cluster 1
22.734,-86.49,offshore,Surface,Cluster 1
26.259,-83.806,inshore,Surface,Cluster 1
26.259,-83.806,inshore,Surface,Cluster 1
26.259,-83.806,inshore,Surface,Cluster 1
21.633,-86.242,offshore,Surface,Cluster 1
21.633,-86.242,offshore,Surface,Cluster 1
21.633,-86.242,offshore,Surface,Cluster 1
27.5,-95.004,offshore,Surface,Cluster 1
27.5,-95.004,offshore,Surface,Cluster 1
27.5,-95.004,offshore,Surface,Cluster 1
23.183,-90.642,offshore,Surface,Cluster 1
23.183,-90.642,offshore,Surface,Cluster 1
23.183,-90.642,offshore,Surface,Cluster 1
26.059,-96.082,offshore,Surface,Cluster 1
26.059,-96.082,offshore,Surface,Cluster 1
26.059,-96.082,offshore,Surface,Cluster 1
26.058,-94.197,offshore,Surface,Cluster 1
26.058,-94.197,offshore,Surface,Cluster 1
26.058,-94.197,offshore,Surface,Cluster 1
22.276,-95.588,offshore,Surface,Cluster 1
22.276,-95.588,offshore,Surface,Cluster 1
22.276,-95.588,offshore,Surface,Cluster 1
21.591,-86.503,inshore,Surface,Cluster 1
21.591,-86.503,inshore,Surface,Cluster 1
21.591,-86.503,inshore,Surface,Cluster 1
28.014,-83.016,inshore,Surface,Cluster 1
28.014,-83.016,inshore,Surface,Cluster 1
28.014,-83.016,inshore,Surface,Cluster 1
22.971,-90.499,offshore,Surface,Cluster 1
22.971,-90.499,offshore,Surface,Cluster 1
22.971,-90.499,offshore,Surface,Cluster 1
22.274,-97.361,offshore,Surface,Cluster 1
22.274,-97.361,offshore,Surface,Cluster 1
22.274,-97.361,offshore,Surface,Cluster 1
24.4,-80.625,offshore,Surface,Cluster 1
24.4,-80.625,offshore,Surface,Cluster 1
24.4,-80.625,offshore,Surface,Cluster 1
26,-88,offshore,Surface,Cluster 1
26,-88,offshore,Surface,Cluster 1
26,-88,offshore,Surface,Cluster 1
23.769,-88.001,inshore,Surface,Cluster 1
23.769,-88.001,inshore,Surface,Cluster 1
23.769,-88.001,inshore,Surface,Cluster 1
26.221,-85.665,offshore,Surface,Cluster 1
26.221,-85.665,offshore,Surface,Cluster 1
26.221,-85.665,offshore,Surface,Cluster 1
25.574,-84.843,offshore,Surface,Cluster 1
25.574,-84.843,offshore,Surface,Cluster 1
25.574,-84.843,offshore,Surface,Cluster 1
19.609,-93.5,offshore,Surface,Cluster 1
19.609,-93.5,offshore,Surface,Cluster 1
19.609,-93.5,offshore,Surface,Cluster 1
22,-92.917,offshore,DCM,Cluster 2
22,-92.917,offshore,DCM,Cluster 2
22,-92.917,offshore,DCM,Cluster 2
22,-92.917,offshore,Deep,Cluster 3
22,-92.917,offshore,Deep,Cluster 3
22,-92.917,offshore,Deep,Cluster 3
22,-92.917,offshore,Surface,Cluster 1
22,-92.917,offshore,Surface,Cluster 1
22,-92.917,offshore,Surface,Cluster 1
