ASV,stat,pvalue,adjust p-value,OA
bASV23412,0.251567509,0.001,0.054091153,Low
bASV23375,0.134022201,0.005,0.193627639,Low
bASV23362,0.142745859,0.004,0.162056225,Low
bASV23197,0.44875515,0.001,0.054091153,Low
bASV23139,0.226990552,0.002,0.094280374,Low
bASV23092,0.21373857,0.001,0.054091153,Low
bASV23047,0.164915604,0.002,0.094280374,Low
bASV2302,0.164326368,0.012,0.406910924,Low
bASV22910,0.385225844,0.001,0.054091153,Low
bASV22730,0.133348604,0.044,0.860356685,Low
bASV22562,0.201007555,0.001,0.054091153,Low
bASV22405,0.214289075,0.001,0.054091153,Low
bASV22215,0.159624725,0.004,0.162056225,Low
bASV2215,0.135427555,0.022,0.657588148,Low
bASV2214,0.108647984,0.041,0.860356685,Low
bASV22063,0.115470054,0.048,0.860356685,Low
bASV22047,0.162004708,0.012,0.406910924,Low
bASV21913,0.134485967,0.044,0.860356685,Low
bASV21774,0.19477886,0.001,0.054091153,Low
bASV21691,0.112800566,0.015,0.492097561,Low
bASV21661,0.296155806,0.001,0.054091153,Low
bASV21109,0.143853444,0.001,0.054091153,Low
bASV21005,0.152887799,0.011,0.378085179,Low
bASV20976,0.158261095,0.004,0.162056225,Low
bASV20860,0.133723594,0.025,0.721602289,Low
bASV20840,0.337453865,0.001,0.054091153,Low
bASV20831,0.462236278,0.001,0.054091153,Low
bASV20785,0.13271117,0.023,0.67547016,Low
bASV20724,0.137847122,0.018,0.56745,Low
bASV20463,0.163139334,0.005,0.193627639,Low
bASV20135,0.200491994,0.001,0.054091153,Low
bASV20119,0.249214868,0.001,0.054091153,Low
bASV2011,0.131872194,0.023,0.67547016,Low
bASV19994,0.171967612,0.006,0.225011152,Low
bASV19945,0.166162596,0.011,0.378085179,Low
bASV19797,0.169214706,0.004,0.162056225,Low
bASV1966,0.189372343,0.001,0.054091153,Low
bASV19358,0.152020575,0.005,0.193627639,Low
bASV19199,0.139703434,0.004,0.162056225,Low
bASV19020,0.335466789,0.001,0.054091153,Low
bASV19002,0.161302786,0.003,0.130730022,Low
bASV18869,0.169691446,0.004,0.162056225,Low
bASV18705,0.27662806,0.001,0.054091153,Low
bASV18673,0.147578078,0.002,0.094280374,Low
bASV18617,0.159532886,0.004,0.162056225,Low
bASV18616,0.149382339,0.004,0.162056225,Low
bASV183,0.163982631,0.002,0.094280374,Low
bASV18231,0.188098547,0.003,0.130730022,Low
bASV18145,0.108452326,0.045,0.860356685,Low
bASV18043,0.188215373,0.004,0.162056225,Low
bASV18000,0.281752675,0.001,0.054091153,Low
bASV17801,0.183217517,0.001,0.054091153,Low
bASV17751,0.204037329,0.001,0.054091153,Low
bASV17721,0.138342893,0.012,0.406910924,Low
bASV17698,0.237771774,0.001,0.054091153,Low
bASV17673,0.25439551,0.001,0.054091153,Low
bASV17653,0.243057112,0.001,0.054091153,Low
bASV17149,0.136165242,0.005,0.193627639,Low
bASV16893,0.121917682,0.021,0.640024169,Low
bASV16892,0.132286774,0.043,0.860356685,Low
bASV16329,0.218402593,0.002,0.094280374,Low
bASV16280,0.12340351,0.01,0.350886957,Low
bASV16122,0.157046794,0.002,0.094280374,Low
bASV15945,0.110112452,0.034,0.860356685,Low
bASV15747,0.409243523,0.001,0.054091153,Low
bASV15705,0.117705865,0.039,0.860356685,Low
bASV15659,0.234081955,0.001,0.054091153,Low
bASV15498,0.127112297,0.023,0.67547016,Low
bASV15126,0.177655098,0.001,0.054091153,Low
bASV15120,0.16402367,0.011,0.378085179,Low
bASV14991,0.259339133,0.001,0.054091153,Low
bASV14662,0.237530959,0.001,0.054091153,Low
bASV1428,0.200620893,0.001,0.054091153,Low
bASV14237,0.134046498,0.005,0.193627639,Low
bASV14157,0.142119163,0.006,0.225011152,Low
bASV14089,0.189557238,0.001,0.054091153,Low
bASV13968,0.200721874,0.001,0.054091153,Low
bASV13757,0.134839972,0.021,0.640024169,Low
bASV13693,0.145299694,0.007,0.256319419,Low
bASV13452,0.221581394,0.001,0.054091153,Low
bASV13438,0.154962088,0.009,0.318568421,Low
bASV13379,0.251754407,0.001,0.054091153,Low
bASV13327,0.149037307,0.003,0.130730022,Low
bASV13177,0.191869255,0.002,0.094280374,Low
bASV12942,0.222683152,0.001,0.054091153,Low
bASV12900,0.123596029,0.044,0.860356685,Low
bASV12780,0.223599669,0.001,0.054091153,Low
bASV12618,0.174108745,0.001,0.054091153,Low
bASV12567,0.14796663,0.004,0.162056225,Low
bASV12397,0.116446496,0.015,0.492097561,Low
bASV12326,0.106747604,0.049,0.860356685,Low
bASV12282,0.132671625,0.031,0.860356685,Low
bASV12089,0.161303073,0.004,0.162056225,Low
bASV12061,0.123961217,0.015,0.492097561,Low
bASV12000,0.136831372,0.018,0.56745,Low
bASV11558,0.114129087,0.028,0.796795487,Low
bASV11555,0.246163287,0.001,0.054091153,Low
bASV11535,0.099882922,0.049,0.860356685,Low
bASV11147,0.189745233,0.001,0.054091153,Low
bASV1101,0.155384719,0.001,0.054091153,Low
bASV11009,0.267994845,0.001,0.054091153,Low
bASV10923,0.163405607,0.001,0.054091153,Low
bASV10768,0.205672672,0.001,0.054091153,Low
bASV10642,0.129166737,0.023,0.67547016,Low
bASV10296,0.122299898,0.013,0.437146667,Low
bASV10128,0.12340351,0.027,0.771603399,Low
bASV10015,0.145180176,0.004,0.162056225,Low
bASV10014,0.173282948,0.001,0.054091153,Low
bASV9236,0.133148533,0.042,0.860356685,High
bASV8975,0.295813205,0.001,0.054091153,High
bASV8852,0.35635015,0.001,0.054091153,High
bASV861,0.487387986,0.001,0.054091153,High
bASV8090,0.116560275,0.031,0.860356685,High
bASV7977,0.311721158,0.001,0.054091153,High
bASV7846,0.138196249,0.049,0.860356685,High
bASV7705,0.464471356,0.001,0.054091153,High
bASV7560,0.272593562,0.001,0.054091153,High
bASV747,0.162511161,0.003,0.130730022,High
bASV7361,0.135329941,0.04,0.860356685,High
bASV7348,0.193472544,0.001,0.054091153,High
bASV7176,0.258262107,0.001,0.054091153,High
bASV7147,0.181100959,0.001,0.054091153,High
bASV7111,0.205319574,0.001,0.054091153,High
bASV668,0.208008556,0.001,0.054091153,High
bASV6535,0.219229592,0.001,0.054091153,High
bASV64738,0.179100349,0.008,0.288228571,High
bASV64489,0.44621138,0.001,0.054091153,High
bASV64418,0.392517912,0.001,0.054091153,High
bASV64354,0.174616676,0.008,0.288228571,High
bASV64345,0.231619514,0.002,0.094280374,High
bASV64330,0.536683207,0.001,0.054091153,High
bASV64130,0.306687807,0.001,0.054091153,High
bASV63597,0.275006877,0.001,0.054091153,High
bASV63192,0.472185433,0.001,0.054091153,High
bASV62467,0.172388016,0.004,0.162056225,High
bASV62363,0.343015109,0.001,0.054091153,High
bASV61792,0.351101528,0.001,0.054091153,High
bASV61453,0.198762844,0.002,0.094280374,High
bASV61292,0.174216321,0.004,0.162056225,High
bASV61256,0.257833874,0.001,0.054091153,High
bASV6079,0.199167572,0.002,0.094280374,High
bASV60701,0.160896931,0.005,0.193627639,High
bASV60666,0.236694515,0.001,0.054091153,High
bASV60665,0.212379656,0.001,0.054091153,High
bASV6030,0.182359462,0.002,0.094280374,High
bASV60080,0.198746795,0.002,0.094280374,High
bASV59820,0.131373069,0.043,0.860356685,High
bASV59751,0.128962906,0.046,0.860356685,High
bASV59673,0.346922268,0.001,0.054091153,High
bASV59551,0.194823562,0.003,0.130730022,High
bASV59517,0.151285039,0.015,0.492097561,High
bASV59490,0.297337359,0.001,0.054091153,High
bASV59407,0.529914031,0.001,0.054091153,High
bASV59075,0.289246528,0.001,0.054091153,High
bASV58753,0.151869585,0.012,0.406910924,High
bASV58738,0.121983942,0.043,0.860356685,High
bASV58644,0.181044394,0.001,0.054091153,High
bASV58378,0.130085066,0.047,0.860356685,High
bASV58239,0.1243666,0.046,0.860356685,High
bASV58072,0.134081746,0.044,0.860356685,High
bASV57962,0.353232757,0.001,0.054091153,High
bASV57616,0.295213866,0.001,0.054091153,High
bASV5747,0.221814012,0.002,0.094280374,High
bASV57267,0.139172446,0.039,0.860356685,High
bASV57209,0.502373797,0.001,0.054091153,High
bASV56818,0.320198215,0.001,0.054091153,High
bASV568,0.3891226,0.001,0.054091153,High
bASV56402,0.15256754,0.011,0.378085179,High
bASV56333,0.313445782,0.001,0.054091153,High
bASV55870,0.145202281,0.017,0.543568938,High
bASV55548,0.211880881,0.001,0.054091153,High
bASV5554,0.196078952,0.004,0.162056225,High
bASV55202,0.128415623,0.04,0.860356685,High
bASV54629,0.427813028,0.001,0.054091153,High
bASV5449,0.278666031,0.001,0.054091153,High
bASV54477,0.159763683,0.009,0.318568421,High
bASV54460,0.443272171,0.001,0.054091153,High
bASV54314,0.164918757,0.004,0.162056225,High
bASV54298,0.140252592,0.025,0.721602289,High
bASV54118,0.129626801,0.034,0.860356685,High
bASV54102,0.298863239,0.001,0.054091153,High
bASV54099,0.161023094,0.006,0.225011152,High
bASV53975,0.226942884,0.001,0.054091153,High
bASV53843,0.198055879,0.001,0.054091153,High
bASV53794,0.188282573,0.004,0.162056225,High
bASV5372,0.425517932,0.001,0.054091153,High
bASV53691,0.128577329,0.035,0.860356685,High
bASV53439,0.17459452,0.007,0.256319419,High
bASV53414,0.127894658,0.027,0.771603399,High
bASV53318,0.342181302,0.001,0.054091153,High
bASV53134,0.288793355,0.001,0.054091153,High
bASV53062,0.425827178,0.001,0.054091153,High
bASV52950,0.212993694,0.001,0.054091153,High
bASV52905,0.252596096,0.001,0.054091153,High
bASV52865,0.209165007,0.001,0.054091153,High
bASV527,0.15314029,0.018,0.56745,High
bASV52298,0.208746618,0.001,0.054091153,High
bASV5199,0.440708929,0.001,0.054091153,High
bASV51827,0.247045043,0.001,0.054091153,High
bASV51551,0.4949887,0.001,0.054091153,High
bASV51344,0.226406349,0.003,0.130730022,High
bASV51338,0.179711863,0.002,0.094280374,High
bASV5107,0.222325052,0.002,0.094280374,High
bASV50572,0.474294214,0.001,0.054091153,High
bASV50469,0.142913709,0.023,0.67547016,High
bASV5042,0.407486698,0.001,0.054091153,High
bASV50312,0.206203744,0.001,0.054091153,High
bASV49927,0.17169661,0.003,0.130730022,High
bASV49874,0.411906409,0.001,0.054091153,High
bASV49638,0.123278418,0.017,0.543568938,High
bASV49178,0.150989757,0.017,0.543568938,High
bASV48676,0.168339637,0.003,0.130730022,High
bASV48554,0.157409086,0.005,0.193627639,High
bASV48524,0.144270774,0.024,0.702792453,High
bASV48354,0.213062704,0.001,0.054091153,High
bASV4835,0.214438681,0.001,0.054091153,High
bASV46630,0.317100556,0.001,0.054091153,High
bASV46386,0.274040099,0.001,0.054091153,High
bASV4611,0.139079802,0.047,0.860356685,High
bASV45993,0.179367444,0.005,0.193627639,High
bASV4599,0.25406497,0.001,0.054091153,High
bASV45968,0.295188656,0.001,0.054091153,High
bASV45849,0.362989094,0.001,0.054091153,High
bASV45611,0.153775303,0.002,0.094280374,High
bASV4542,0.225102754,0.001,0.054091153,High
bASV44906,0.454408282,0.001,0.054091153,High
bASV44663,0.4022549,0.001,0.054091153,High
bASV44656,0.16629161,0.004,0.162056225,High
bASV43964,0.184328969,0.002,0.094280374,High
bASV43620,0.204655053,0.002,0.094280374,High
bASV43517,0.140691852,0.034,0.860356685,High
bASV43422,0.22380129,0.001,0.054091153,High
