Latitude	Longitude	Depth	Synechococcus	Prochlorococcus	SAR86	Flavobacteriales	SAR11
deg	deg	m	abund	abund	abund	abund	abund
27.011	-87	1	7.858640821	16.09256856	6.33158746	3.611253646	38.01819377
30.111	-86.8	1	20.59985542	1.952135625	4.098085624	4.688184056	32.58584087
29.758	-87.041	1	12.29479286	3.820072766	4.963175704	4.776043991	35.86432483
29.463	-87.236	1	NA	7.210379487	NA	4.615841707	NA
29.052	-87.521	1	8.736084724	6.349475202	5.448930232	4.697377346	36.45668965
28.701	-87.76	1	8.885345393	5.294550846	5.744381721	5.126109775	36.7741842
28.347	-88	1	10.35333893	0.481383892	5.018219191	7.512035531	33.68554471
27.001	-89.999	1	10.34492908	15.60760111	6.055721753	3.428625404	38.40517383
27.584	-89.999	1	8.1639207	19.89209247	6.011329785	3.541782525	39.20371187
27.737	-89.999	1	8.9913443	21.74207957	5.858461596	3.494531193	39.28873183
27.91	-90.001	1	9.008320184	14.94479724	5.839947356	3.511234764	39.26660853
28.074	-89.998	1	8.206162037	17.22013572	6.076878443	3.617662356	39.00008922
28.245	-89.986	1	6.699107756	32.12320862	6.450957001	3.700944453	38.69623466
28.499	-90	1	9.125146757	4.684569542	5.404909652	5.648067034	37.14291029
28.745	-89.992	1	7.248062332	0.444104786	4.846834216	11.046736	32.47645405
28.935	-90.123	1	9.303782018	0.01158281	4.091453924	17.30162273	32.02697837
28.97	-90.21	1	11.31129826	0.017171629	3.727126668	16.57113956	32.85740422
28.877	-90.446	1	NA	NA	NA	16.46822296	33.12228713
28.827	-90.814	1	10.76852566	0.271075372	4.364416817	10.99239189	33.74417089
27.92	-93.579	1	7.020565256	19.61239565	6.658700617	4.117719876	38.48548515
27.87	-93.831	1	7.958709329	14.1360185	6.244012058	4.388225792	38.9710361
27.691	-94.22	1	8.908793089	10.43300641	6.215699755	4.487014406	40.2824881
27.333	-95	1	7.279392317	21.98143405	6.889848665	3.872061914	39.75490315
27.5	-95.004	1	7.323188241	18.98249475	6.80031856	3.947079153	39.36052378
28.085	-95.001	1	NA	10.43368302	NA	4.492692134	NA
28.334	-94.999	1	10.40605906	2.319045997	4.99580047	5.225774727	40.10111126
28.683	-95	1	12.98818711	0.058016946	4.096764846	7.36881801	39.91359261
27.335	-96.783	1	8.833939114	2.030028083	5.992828339	4.85545117	39.2473769
26.067	-96.923	1	7.587910539	2.431124189	6.721362921	4.479476008	40.18011576
26.061	-96.807	1	NA	NA	NA	4.67309552	40.31571615
26.061	-96.568	1	8.595593494	6.24612012	6.626417449	4.525789581	39.36986117
26.058	-96.325	1	8.432210465	16.58007395	6.237745026	4.02635728	37.62511296
26.059	-96.082	1	7.745690537	14.48784146	6.914544734	4.172746108	39.2201486
26.058	-95.841	1	7.845603045	1.694829176	6.853772915	4.274965004	38.90613999
26.059	-95.55	1	7.315414174	16.9610409	6.197675698	3.986018237	42.06781912
26.059	-95.121	1	6.684972523	18.84216059	6.340772113	3.949653775	42.84960177
26.058	-94.671	1	NA	NA	NA	3.89990789	39.45236608
26.058	-94.197	1	7.064985481	19.88845676	6.192059821	3.896547231	43.58527359
26.058	-93.729	1	7.533097126	25.87805167	5.919010226	3.670914259	41.62344824
26.057	-93.262	1	7.293242892	16.01206589	6.549417171	3.931797296	39.13492164
24.999	-93.416	1	8.275308064	26.77229674	7.004064254	3.520849495	38.39834733
22.275	-97.719	1	7.39562255	8.768989809	6.730212328	4.32628945	40.3284835
22.274	-97.639	1	7.754742124	10.74890034	7.016133968	4.11758284	39.65757003
22.273	-97.546	1	7.297413908	14.94928129	7.189133225	3.994127953	40.47223622
22.275	-97.453	1	7.557204398	13.51173097	7.19498322	3.846936437	40.2603436
22.274	-97.361	1	6.887444399	20.30099375	7.362436002	3.761229819	39.6613749
22.274	-96.77	1	7.745833387	22.66576075	7.015654644	3.714571944	38.68598038
22.274	-96.18	1	8.007792121	14.8601093	6.896276445	3.71038226	38.54839515
22.276	-95.588	1	6.569035901	17.69417625	7.464668906	3.878124131	40.24324991
22.274	-95	1	7.293961091	15.74583088	7.295697134	3.738615661	39.58728509
20.729	-94.75	1	7.062832499	11.88438146	7.260105117	3.693202493	40.33187856
20.601	-94.29	1	8.20679267	17.8281888	5.949146568	3.737208112	44.53518349
20.02	-93.771	1	11.6155726	4.288412728	6.338073822	4.13637535	37.02331293
19.609	-93.5	1	NA	NA	NA	4.083550812	36.58283389
19.17	-93.299	1	8.757254061	8.151551325	6.871604604	4.236932132	38.07511327
18.836	-93.066	1	10.22868445	1.931024418	6.343038166	6.775044553	38.71142044
22	-92.917	1	NA	NA	NA	NA	NA
21.733	-92.318	1	NA	NA	NA	3.618571452	40.26839488
21.45	-91.567	1	8.1369872	13.35028817	7.033663617	3.681938328	40.17222599
21.167	-90.768	1	11.46760032	7.125271013	6.176301735	4.019276217	41.4939021
21.701	-89.667	1	11.26491561	12.98137717	6.256777277	3.839547002	41.17664599
22.272	-90.043	1	9.279601499	14.97417344	6.98185325	3.627485506	39.61975483
22.659	-90.288	1	7.995061886	21.19961856	7.075099406	3.807859094	39.90186457
22.971	-90.499	1	8.040142359	18.21190018	7.085200809	3.657933188	39.75655033
23.183	-90.642	1	NA	NA	NA	NA	39.767628
21.927	-88	1	8.992439772	15.8122476	6.562400676	3.621005223	39.58590407
22.542	-88	1	8.901635579	14.84011935	6.362350006	3.621595907	38.86646352
23.156	-88.001	1	7.516540894	18.94198979	7.31744573	3.718463219	39.53374221
23.769	-88.001	1	6.613902265	24.68205039	7.522628273	3.699514359	38.75749379
24.386	-88.002	1	11.00224307	13.29081609	6.172012053	3.336110911	38.38939878
24.994	-87.99	1	11.16524869	15.89793098	6.278594938	3.264194582	38.65117905
25.493	-87.998	1	48.44045438	2.240425992	4.062014189	3.286587206	38.01761527
26	-88	1	8.889895967	23.20499035	6.873698465	3.210218827	38.39911124
23.088	-86.273	1	11.4602686	16.65114409	6.793629503	3.309969966	38.32825603
22.734	-86.49	1	9.925400949	23.07659451	7.061452644	3.273001999	38.30203337
22.54	-86.611	1	11.3916039	15.72482199	6.616445479	3.293589412	37.94609658
22.348	-86.744	1	NA	NA	NA	3.491030356	NA
22.254	-86.81	1	10.3391803	0.962835642	6.049611397	3.510890665	38.42940683
22.206	-86.833	1	8.557722457	11.51017239	6.107891715	3.601555583	38.3990667
22.073	-86.916	1	10.45587089	13.20454935	5.77907345	3.605993763	38.49727306
21.948	-86.992	1	9.783593936	9.929425407	5.849485313	3.712039961	38.97255474
21.551	-86.749	1	11.65165017	6.631078897	5.856097637	3.85228838	39.23486375
21.591	-86.503	1	10.14000033	21.09331332	6.869230936	3.246202848	38.2838051
21.633	-86.242	1	10.33857292	15.92716763	6.564845645	3.367901064	38.18864817
21.665	-85.98	1	NA	11.33507711	NA	3.228135591	NA
21.678	-85.897	1	10.64465371	16.71010788	6.859774885	3.153360023	38.34482401
24.4	-80.625	1	8.585263003	23.46077411	6.525442542	3.244799207	37.94475302
24.517	-80.63	1	9.004296029	17.26937253	6.274824603	3.644517137	37.52683374
24.735	-80.622	1	NA	NA	NA	3.758578159	38.33507514
24.466	-82.867	1	9.917992419	9.746143398	6.564419759	3.733712277	38.84701764
26.596	-82.696	1	8.038816934	9.944955277	6.372396227	3.678874903	37.63718811
26.63	-82.554	1	6.858478849	8.070065299	6.47179009	3.978088871	37.89972369
26.669	-82.417	1	4.834076935	2.500443014	7.666310322	4.437359813	36.90579697
27.034	-82.615	1	NA	9.470259816	NA	3.709281334	NA
26.955	-82.751	1	NA	NA	NA	3.660253467	NA
26.879	-82.889	1	8.300010587	13.21177264	6.369056651	3.942438889	38.35493554
26.729	-83.101	1	7.836846354	8.014193275	6.192565359	4.090501887	39.23676151
26.62	-83.24	1	8.103265979	14.00992311	6.34714107	3.841619134	38.16389488
26.521	-83.409	1	8.264786494	11.52671742	6.411690594	3.74381844	38.66870609
26.387	-83.607	1	7.514842087	17.63938831	6.690413912	3.708932053	37.8524624
26.259	-83.806	1	7.073299407	20.20136702	6.501355998	4.059321665	37.84414213
26.132	-84.003	1	7.026683168	19.83795053	6.616436014	3.932615579	37.54872859
26.002	-84.197	1	8.72885776	13.22042683	6.119740225	3.955840663	37.82414229
25.874	-84.393	1	7.689977339	17.81381345	6.254458481	4.016160078	37.56438996
25.745	-84.589	1	6.579493513	23.93886476	6.387311906	3.900202678	37.48707043
25.658	-84.715	1	6.822640681	20.29993542	6.136389225	3.755020827	38.17240739
25.574	-84.843	1	4.840755568	27.33589034	6.744319109	4.059816445	38.26426258
