Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
24.994	-87.99	1	29.511	36.273	194.1	0	0.298414278	2025.406618	8.025	0.023405041	3.385101874	3.591349312	-3.399048462	-1.176311341	-4.605170186
25.493	-87.998	1	29.501	36.268	194.2	0.000975243	0.157014055	2026.496397	7.903	0.03023252	3.384763075	3.591211497	-3.213079655	-1.789677308	-4.512113179
26	-88	1	29.63	36.291	194.4	0.029255627	0.256474326	2022.988998	8.045	0.020478939	3.3891248	3.591845289	-3.490719358	-1.322477378	-3.237660482
23.088	-86.273	1	29.991	36.272	193.6	0.015608511	0.145354258	2028.006562	8.02	0.015608511	3.401230714	3.591321751	-3.664830522	-1.862047234	-3.664830522
22.734	-86.49	1	30.012	36.258	189	0.000975358	0.239937967	2025.296946	8.028	0	3.401930446	3.59093581	-4.605170186	-1.386542524	-4.512102701
22.54	-86.611	1	29.778	36.179	192	0	0.178461041	2023.216989	8.022	0.017553545	3.394105628	3.588755205	-3.591624077	-1.668863973	-4.605170186
22.348	-86.744	1	28.986	36.238	192.7	NA	NA	2036.700839	NA	NA	3.367157889	3.590384207	NA	NA	NA
22.254	-86.81	1	28.905	36.212	193.1	0.018528096	0.213560687	2036.700839	8.022	0.215511013	3.364360492	3.589666669	-1.489386283	-1.498072372	-3.556865853
22.206	-86.833	1	28.674	36.262	190.2	0.266239419	0.198948138	2043.605772	8.022	0.056563686	3.356339476	3.591046094	-2.709596105	-1.565669201	-1.286487329
22.073	-86.916	1	28.52	36.255	193.8	0	0.185290884	2043.549675	8.018	0.02828124	3.350956165	3.590853089	-3.26279532	-1.633265119	-4.605170186
21.948	-86.992	1	28.464	36.325	193.1	0	0.19698656	2051.943842	8.017	0.04973423	3.34899139	3.592781464	-2.817850056	-1.575101415	-4.605170186
21.551	-86.749	1	28.906	36.275	185.6	0.009751997	0.243799919	2056.908679	7.989	0.046809585	3.364395075	3.591404433	-2.868050217	-1.371209043	-3.924500679
21.591	-86.503	1	29.921	36.193	194.8	0.061441221	0.211630874	2021.047679	8.035	0.014628862	3.398894733	3.589141988	-3.703836272	-1.506742011	-2.638880251
21.633	-86.242	1	29.577	36.028	197.4	0.018530798	0.197011639	2021.2	8.038	0.029259154	3.387335076	3.584573937	-3.237570639	-1.57498026	-3.556771144
21.665	-85.98	1	29.842	36.02	NA	0.038040999	0.26140994	2012.829872	8.015	0.029262307	3.396251839	3.584351925	-3.23749033	-1.304124907	-3.035700487
21.678	-85.897	1	30.079	36.239	193.3	0.039984127	0.269161438	2017.447622	8.032	0.028281455	3.404159656	3.590411795	-3.262789704	-1.275965034	-2.996049784
24.4	-80.625	1	29.127	36.218	195.6	0.068265908	0.225277496	2022.000221	8.049	0.023405454	3.372008844	3.589832301	-3.399036099	-1.446989627	-2.547643173
24.517	-80.63	1	28.781	35.77	195.8	0.034145475	0.140484242	2025.494499	8.044	0.02146287	3.360062838	3.577389078	-3.458947159	-1.893896905	-3.120264849
24.735	-80.622	1	29.745	35.604	196.1	0.032197769	0.184405402	2024.469913	NA	0.035124839	3.392997185	3.572738819	-3.09832243	-1.637809599	-3.165387927
24.466	-82.867	1	29.372	36.048	196	0.020480808	0.131662338	2041.584928	8.026	0.051689659	3.380382242	3.585128753	-2.785638963	-1.954308954	-3.490658039
26.596	-82.696	1	28.626	35.816	194	0.018533439	0.166800955	2029.17778	8.049	0.066330204	3.354664668	3.578673887	-2.572686561	-1.732730727	-3.556678581
26.63	-82.554	1	28.557	35.224	199.8	0.027324381	0.258605747	2019.510128	8.076	0.088804238	3.352252205	3.562011526	-2.31461478	-1.314510599	-3.28810852
26.669	-82.417	1	28.686	35.502	151.6	0.043905234	0.378560684	2051.737296	8.019	0.120983311	3.35675774	3.569870668	-2.032685361	-0.945305921	-2.9205277
27.034	-82.615	1	28.177	35.683	NA	0.019510891	0.148282768	2025.235051	8.074	0.091701186	3.338860879	3.574954591	-2.285716314	-1.843372175	-3.522995897
26.955	-82.751	1	28.506	35.998	193.8	NA	NA	2035.746974	NA	NA	3.350465333	3.583741136	NA	NA	NA
