Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales
deg	deg	m	abund	abund	abund	abund
27.691	-94.22	1	3.334816886	31.91600482	3.971236401	23.98297958
27.333	-95	1	3.812908715	34.78338041	4.493544738	28.57632023
27.5	-95.004	1	3.836891735	34.63565714	4.242401466	28.16157238
28.085	-95.001	1	NA	NA	3.432550968	27.12863644
28.334	-94.999	1	2.883403586	32.97631138	2.369642625	24.75218015
28.683	-95	1	1.920342032	29.26381525	1.007667867	21.97742815
27.335	-96.783	1	2.837264219	32.16684382	2.607830893	24.82028875
26.067	-96.923	1	2.740656427	32.40082982	2.994061137	27.06124522
26.061	-96.807	1	NA	29.37549862	3.613273227	NA
26.061	-96.568	1	3.26423849	31.46061259	3.649198705	23.8652074
26.058	-96.325	1	3.798114959	36.24469116	3.712787123	25.96238749
26.059	-96.082	1	3.814503718	34.15212357	4.025538448	27.4685177
26.058	-95.841	1	2.799213194	33.43417761	2.76831769	28.58016283
26.059	-95.55	1	3.857768277	34.73080141	4.103294646	33.76309003
26.059	-95.121	1	3.922386311	33.79749893	4.314673283	34.82199056
26.058	-94.671	1	NA	32.4857636	4.555240695	NA
26.058	-94.197	1	3.800875835	34.1200167	4.491168207	35.63473508
26.058	-93.729	1	3.945846607	36.69816857	4.353022269	34.6404115
26.057	-93.262	1	3.465070227	36.17469258	3.887549619	27.68737216
24.999	-93.416	1	3.980722647	36.04896201	4.950474953	28.44757612
22.275	-97.719	1	3.421797472	33.20054501	3.685664226	28.04800659
22.274	-97.639	1	3.525490472	33.79376316	4.019932572	27.73382171
22.273	-97.546	1	3.712422505	33.39990791	4.458367642	29.23725248
22.275	-97.453	1	3.557759835	33.83806452	4.52159842	29.24962624
22.274	-97.361	1	3.856351493	34.17841096	4.690060475	29.24152881
22.274	-96.77	1	3.924536848	35.29759174	4.623227739	28.03729371
22.274	-96.18	1	3.807844584	35.24964704	4.27450471	28.8383261
22.276	-95.588	1	3.78195447	33.56517076	4.575260619	29.63701837
22.274	-95	1	3.734453611	34.43694453	4.538380431	29.67784508
20.729	-94.75	1	3.543187393	34.08383976	4.432485346	31.16824902
20.601	-94.29	1	3.538922191	34.54998051	4.806581151	36.43885368
20.02	-93.771	1	3.287740814	34.68428404	3.377075995	24.64420808
19.609	-93.5	1	NA	35.70312608	3.488055676	NA
19.17	-93.299	1	3.529053972	33.63040224	3.718757576	25.1314346
18.836	-93.066	1	3.096980734	28.25198989	2.426746872	18.12431632
22	-92.917	1	NA	NA	NA	NA
21.733	-92.318	1	NA	34.24437849	5.161219645	NA
21.45	-91.567	1	3.441699363	34.1996319	4.708392322	29.08481115
21.167	-90.768	1	2.953832023	31.79754654	4.681543781	25.42986083
21.701	-89.667	1	3.120283821	34.3155076	4.971318342	26.68061375
22.272	-90.043	1	3.58216464	35.00392318	4.881500523	28.98775337
22.659	-90.288	1	3.834959579	33.87207895	4.922736832	28.16680994
22.971	-90.499	1	3.685131802	35.52674431	4.725451277	29.96286586
23.183	-90.642	1	NA	NA	NA	NA
21.927	-88	1	3.43918369	35.60658206	4.638558714	28.29492721
22.542	-88	1	3.452081567	35.94752931	4.342485038	27.6506767
23.156	-88.001	1	3.955776214	34.48155992	4.726488644	30.09230271
23.769	-88.001	1	4.311803902	34.13619972	4.71941584	29.65507701
24.386	-88.002	1	3.503371868	37.86853858	4.506716503	29.76950131
24.994	-87.99	1	3.579311134	38.24273382	4.796628806	30.63225364
25.493	-87.998	1	2.252005227	38.09130025	4.707672531	21.62768651
26	-88	1	3.896347753	38.61481775	4.913565614	32.29755574
23.088	-86.273	1	3.728444713	37.14777003	5.169412966	29.58224895
22.734	-86.49	1	4.202369167	36.41462481	5.371012185	30.95876066
22.54	-86.611	1	3.752554393	37.39530049	4.940037581	29.50005379
22.348	-86.744	1	NA	36.69914995	NA	NA
22.254	-86.81	1	2.287175875	36.78856677	2.764617171	30.79566127
22.206	-86.833	1	3.24835673	35.57441812	4.004304883	26.93917511
22.073	-86.916	1	3.212851565	36.54616286	4.209866452	25.7472319
21.948	-86.992	1	3.073345054	35.48894612	4.01610085	25.77248126
21.551	-86.749	1	3.162719528	32.55839137	4.222730686	24.67744916
21.591	-86.503	1	3.869183466	38.27095826	5.071178678	31.30810031
21.633	-86.242	1	3.580123043	38.64735835	4.570616566	30.0550415
21.665	-85.98	1	NA	NA	4.707535651	30.13414973
21.678	-85.897	1	3.833516919	38.45551559	5.034934096	32.8369356
24.4	-80.625	1	3.726536999	39.39890238	4.54402787	30.85306697
24.517	-80.63	1	3.569164306	37.56932975	4.06377606	26.63598358
24.735	-80.622	1	NA	36.03524831	4.275168961	NA
24.466	-82.867	1	3.273226914	35.58626434	4.238780238	27.22073972
26.596	-82.696	1	3.342331475	36.95458565	3.604163922	27.60734898
26.63	-82.554	1	3.262810757	37.59249208	3.060140121	28.57786723
26.669	-82.417	1	4.495605952	25.0112845	3.010194335	25.60771954
27.034	-82.615	1	NA	NA	3.142713753	28.36012576
26.955	-82.751	1	NA	36.7562781	NA	NA
26.879	-82.889	1	3.401208497	34.19673157	4.028136569	24.48745994
26.729	-83.101	1	3.160594584	33.26827023	3.622192103	25.35160352
26.62	-83.24	1	3.452030081	35.44236771	3.927538451	25.77552986
26.521	-83.409	1	3.347605911	35.78587024	3.946821918	27.40388121
26.387	-83.607	1	3.629770891	36.70713081	4.024729277	27.26051127
26.259	-83.806	1	3.764834241	35.85365671	3.751691507	25.53249174
26.132	-84.003	1	3.708038452	36.45254334	3.784254799	25.82358177
26.002	-84.197	1	3.406781597	36.47092698	3.680928087	25.23095545
25.874	-84.393	1	3.584568858	36.11716065	3.690796457	24.94464088
25.745	-84.589	1	3.805815021	36.46203663	3.730792258	26.01101984
25.658	-84.715	1	3.467268132	37.01876787	3.75841974	26.52052042
25.574	-84.843	1	3.71099442	36.80656099	3.463705368	27.02056812
