Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales	Sar11	Sar86	Flavobacteriales	Prochlorococcus	Synechococcus
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund
29.5	-85.378	1	4.56374582	6.889307552	3.323867067	6.433482205	7.531637843	5.238362565	5.618884233	2.469142136	6.878324028
29.378	-85.509	1	5.164369097	7.193564849	4.285671618	6.562226423	7.553150426	5.186067401	5.255614751	4.811967121	6.804406671
29.206	-85.647	1	4.989599965	7.11061788	4.374077673	6.688492991	7.605262388	5.28455667	5.310372068	4.946234415	6.83056896
29.038	-85.783	1	5.283224823	7.130586812	4.58550676	7.03585793	7.535648731	5.351955786	5.407394871	5.48091516	6.668062224
28.866	-85.922	1	5.096751531	7.100627166	4.596906262	6.686464706	7.526964715	5.619841061	5.476191753	6.100194958	5.8645179
28.689	-86.064	1	4.605308708	NA	NA	NA	NA	NA	5.419334769	NA	5.683081555
28.516	-86.204	1	4.629705668	NA	NA	NA	NA	NA	5.278046699	NA	6.120025984
28.344	-86.341	1	4.546731721	7.048700417	3.43190456	5.902012039	7.605974507	5.171157697	5.445722138	3.694343642	7.185822572
28.172	-86.481	1	4.737217877	7.306883716	3.444888479	5.686764582	7.603630334	5.416844681	5.261591908	3.086591819	7.03215948
28	-86.62	1	4.607181248	7.280057996	4.346637796	6.906400308	7.484065733	5.351517115	5.211239805	3.73105952	6.665541933
27.5	-86.81	1	4.783337245	7.076112652	4.216927603	6.641887631	7.573945077	5.291084193	5.349602966	3.918597054	6.978282689
27.011	-87	1	4.525497176	7.154102412	4.475198934	6.771931717	7.510659568	5.742488478	5.30448291	5.958005015	5.482805743
30.111	-86.8	1	4.614316212	7.257989762	3.966855192	6.467957054	7.50610392	5.400192541	5.611930943	3.639276803	6.90063413
29.758	-87.041	1	5.047081706	7.18680319	4.360097374	6.857069761	7.539839834	5.220900331	5.347756797	4.391703314	6.921382604
29.463	-87.236	1	4.654040547	NA	NA	NA	7.587509906	NA	NA	NA	6.028032846
29.052	-87.521	1	4.298573949	7.170300525	4.571663293	6.869898005	7.55593027	5.390324122	5.204933191	5.062505947	6.186837088
28.701	-87.76	1	4.988506289	7.061320881	4.756353011	6.91723958	7.617371957	5.491292746	5.356297609	4.700475918	6.623630917
28.347	-88	1	4.200543878	6.940718609	3.210097491	8.418177091	7.592936115	5.135004158	6.060330239	2.348360867	7.423858231
27.001	-89.999	1	4.478558476	7.118332163	4.735588585	6.826646958	7.540609996	5.795875333	5.017871554	6.694536783	5.061195156
27.584	-89.999	1	5.160918284	7.067887199	4.705021318	6.839075258	7.589483948	5.751758578	4.98970357	6.961639533	5.085843138
27.737	-89.999	1	5.102166296	7.071750687	4.822672307	6.794384438	7.588753424	5.818729968	4.947836002	7.567311611	4.815600987
27.91	-90.001	1	4.974236444	7.089257291	4.614922207	6.662032798	7.5848684	5.676349832	4.940369894	6.63965636	5.17606606
28.074	-89.998	1	4.785440318	7.093907878	4.636313741	6.77068816	7.590522157	5.711959537	4.994846293	6.747757671	5.190703538
28.245	-89.986	1	4.744910637	7.042878607	4.999926402	7.017521448	7.597169747	5.947375243	5.029630923	8.010463188	4.537047337
28.499	-90	1	4.374002931	7.105747816	4.847926445	6.985920624	7.590962377	5.510113761	5.526560946	4.873722288	6.439492818
28.745	-89.992	1	3.325381169	5.940283594	2.495264734	6.002256112	7.451355951	5.822025271	6.487651169	5.223299211	6.953761667
28.935	-90.123	1	2.838980263	6.837075722	1.828856193	4.804713486	7.313025975	5.586452672	6.610281415	1.078886499	5.748994613
28.97	-90.21	1	4.29911851	6.790792932	1.698411874	4.51912018	7.392255314	5.630241128	6.830017167	1.165439901	6.135509503
28.877	-90.446	1	3.6635466	NA	NA	NA	NA	NA	6.819275458	NA	7.073027925
28.827	-90.814	1	3.707876036	6.382548562	2.656445238	6.492766495	7.642151413	5.602757221	6.159148701	3.217319051	7.08900367
27.92	-93.579	1	4.650625498	7.068617319	4.766602977	6.93646892	7.544316427	5.848631838	5.449650194	6.869776316	5.44013872
27.87	-93.831	1	4.909151764	7.038404667	4.785687643	6.917102399	7.604935324	5.77464561	5.289052964	6.628378188	5.634403244
27.691	-94.22	1	4.501242233	6.871629791	4.802754318	6.930479376	7.648338733	5.74236589	5.371448044	6.124876644	5.996797364
27.333	-95	1	4.373872369	7.03688482	4.976945887	6.995977333	7.622929773	5.898203745	5.242099056	6.741881008	5.426666378
27.5	-95.004	1	4.528766367	7.038630254	4.855077978	7.01445164	7.629449236	5.875682655	5.231460419	6.499549651	5.461885389
28.085	-95.001	1	4.928953781	NA	NA	NA	7.673902	NA	NA	NA	5.834152238
28.334	-94.999	1	4.857748698	7.023541304	4.661953989	6.963466837	7.664857471	5.540704959	5.402987721	4.14211918	6.45807413
28.683	-95	1	4.361017822	7.04529963	3.73015436	7.006274649	7.707793876	5.119312655	5.824005805	2.338097971	6.616187484
27.335	-96.783	1	5.155081577	6.989550043	4.601092349	6.585400643	7.659861542	5.63303569	5.385254893	4.253532739	6.043824642
26.067	-96.923	1	4.437475354	7.047914483	4.536873594	6.611260304	7.696984533	5.65453796	5.248094718	4.477136656	5.828659378
26.061	-96.807	1	4.570905232	NA	NA	NA	NA	NA	5.43400277	NA	6.392975514
26.061	-96.568	1	4.626119692	6.979909523	4.544568295	6.775830094	7.641496462	5.672107237	5.351780807	5.21608951	6.145004908
26.058	-96.325	1	4.385813678	7.126451885	4.854248569	6.742441396	7.53157	5.86819149	5.401339792	6.589516983	5.443570506
26.059	-96.082	1	4.480166401	7.102820326	4.991019675	6.76934992	7.665186465	5.864293851	5.217870854	5.737769567	5.642596238
26.058	-95.841	1	4.453266501	7.082662114	4.644922507	6.573227405	7.640606828	5.686950123	5.299456372	4.059125309	5.523968143
